strategy,exit_config,num_trades,total_return,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,sharpe_ratio
ema_5_20_cross_down,fixed_rr_1.5,200,41.10146042657028,45.0,1.5953187794239017,0.9688140848171624,1.3472768821016672,13.111193100483698,1.6283442435339444
rsi7_ob70,fixed_pct_0.02,14,38.069942064538864,28.57142857142857,9.602399200581392,0.1746143069063682,21.99682115562363,1.4969439730203864,1.1780676460935156
vol_climax_2x,fixed_pct_0.02,3,34.72565524737372,66.66666666666666,17.446788264333975,0.6069665424261826,57.48846779789612,0.6069665424261794,1.3004619014531669
rsi14_ob75,fixed_pct_0.02,5,34.48236771060091,40.0,17.343815637669408,0.2110490031723045,54.786061931817734,0.6324719986986425,1.1740041016436107
mean_rev_ema50_3pct,fixed_pct_0.03,2,34.0424671625188,50.0,35.78955200994612,1.286612129996106,27.816893044568484,1.2866121299961009,1.316061859468423
mean_rev_ema50_3pct,fixed_pct_0.05,2,34.0424671625188,50.0,35.78955200994612,1.286612129996106,27.816893044568484,1.2866121299961009,1.316061859468423
rsi7_ob70,fixed_rr_1.0,2,33.31536810052342,100.0,16.621437201524895,0.0,332428.74403049785,0.0,1.4331413366711663
rsi14_ob70,fixed_pct_0.02,10,33.22896582373191,20.0,17.343815637669415,0.19607096858606,22.114206609400235,0.8540151809003027,1.0667699267218014
rsi14_ob80,fixed_rr_1.0,3,33.068814000497724,66.66666666666666,16.54576364685332,0.11375158501441701,290.91047205639006,0.11375158501442106,1.2404450954506339
failed_breakout_8,fixed_rr_1.0,1,32.9924573290278,100.0,32.99245732902779,0.0,329924.5732902779,0.0,0.0
failed_breakout_8,fixed_rr_1.5,1,32.9924573290278,100.0,32.99245732902779,0.0,329924.5732902779,0.0,0.0
failed_breakout_8,fixed_rr_2.0,1,32.9924573290278,100.0,32.99245732902779,0.0,329924.5732902779,0.0,0.0
failed_breakout_8,fixed_rr_2.5,1,32.9924573290278,100.0,32.99245732902779,0.0,329924.5732902779,0.0,0.0
failed_breakout_8,fixed_pct_0.03,1,32.9924573290278,100.0,32.99245732902779,0.0,329924.5732902779,0.0,0.0
failed_breakout_8,fixed_pct_0.05,1,32.9924573290278,100.0,32.99245732902779,0.0,329924.5732902779,0.0,0.0
failed_breakout_12,fixed_rr_1.0,1,32.9924573290278,100.0,32.99245732902779,0.0,329924.5732902779,0.0,0.0
failed_breakout_12,fixed_rr_1.5,1,32.9924573290278,100.0,32.99245732902779,0.0,329924.5732902779,0.0,0.0
failed_breakout_12,fixed_rr_2.0,1,32.9924573290278,100.0,32.99245732902779,0.0,329924.5732902779,0.0,0.0
failed_breakout_12,fixed_rr_2.5,1,32.9924573290278,100.0,32.99245732902779,0.0,329924.5732902779,0.0,0.0
failed_breakout_12,fixed_pct_0.03,1,32.9924573290278,100.0,32.99245732902779,0.0,329924.5732902779,0.0,0.0
failed_breakout_12,fixed_pct_0.05,1,32.9924573290278,100.0,32.99245732902779,0.0,329924.5732902779,0.0,0.0
failed_breakout_20,fixed_rr_1.0,1,32.9924573290278,100.0,32.99245732902779,0.0,329924.5732902779,0.0,0.0
failed_breakout_20,fixed_rr_1.5,1,32.9924573290278,100.0,32.99245732902779,0.0,329924.5732902779,0.0,0.0
