config,return,max_dd,return_dd,trades,win_rate,tp_rate,sl_rate,avg_winner,avg_loser,avg_bars,longs,shorts
Explosive 10x TP (No Filter),54.03570944948715,-24.76398554867125,2.182027983471607,184,23.91304347826087,13.043478260869565,73.91304347826086,5.0672682363584265,-1.2066006639305975,40.46195652173913,85,99
Trend + Volume 8x,20.703230863592992,-12.670208432870286,1.6340087042201026,68,22.058823529411764,22.058823529411764,77.94117647058823,5.505247543051054,-1.167461929852317,25.220588235294116,30,38
Tight SL + Wide TP (8x),42.074536731975215,-27.133557606441563,1.5506457849075652,280,16.428571428571427,13.214285714285715,83.57142857142857,5.094396285179076,-0.8216568050694968,22.385714285714286,136,144
RSI Momentum 8x,30.40985561329483,-20.783200210469047,1.4631940849021212,172,22.093023255813954,15.69767441860465,75.5813953488372,4.935207051292378,-1.172597106983698,33.598837209302324,78,94
Ultra Wide TP (12x),30.601808411223487,-33.175319885439535,0.92242692811696,185,20.54054054054054,7.567567567567568,77.29729729729729,5.303138523261086,-1.162703778725835,41.47027027027027,89,96
Explosive 8x TP (No Filter),19.70679784685426,-32.26884510307532,0.610706636196786,209,22.48803827751196,16.267942583732058,75.5980861244019,4.51249059029945,-1.1875324685013575,32.87081339712919,102,107
Volume Confirmed 6x,10.816506202792906,-19.039918269328254,0.5680962517689695,79,25.31645569620253,25.31645569620253,73.41772151898735,3.975652995427044,-1.1643483678940332,22.139240506329113,34,45
ATR Expansion 8x,4.891499882724064,-23.76149487690625,0.20585825547020203,120,21.666666666666668,15.0,76.66666666666667,4.788158450184981,-1.2723470193838875,34.96666666666667,61,59
Explosive 6x TP (No Filter),-1.5872726112834412,-32.16288472230242,-0.04935106489943649,225,23.555555555555554,20.444444444444446,75.1111111111111,3.926346423146963,-1.2190908897562351,28.57777777777778,108,117
Strong Body 8x,-3.4077549101120255,-27.654750128515445,-0.12322493945075322,109,20.18348623853211,11.926605504587156,77.06422018348624,5.029387336317449,-1.3109686932079991,40.73394495412844,54,55
Momentum Confirmed 8x,-9.713429363830187,-39.15318023251015,-0.24808787705487106,174,18.96551724137931,16.666666666666664,79.88505747126436,4.694509121798651,-1.1676044708027353,26.367816091954023,92,82
Triple Filter 10x,-3.920071028586369,-13.522163082558702,-0.2898997005621531,24,12.5,8.333333333333332,87.5,8.575963824275313,-1.411807738162491,29.791666666666668,13,11
