config,return,max_dd,return_dd,trades,win_rate,tp_rate,sl_rate,avg_winner,avg_loser,longs,shorts
RSI Extreme + Volume,10.910167834623484,-9.171772175891915,1.1895375970306978,41,19.51219512195122,14.634146341463413,75.60975609756098,6.419350678796842,-1.225595078659129,18,23
Quad Filter,6.529430097090119,-6.559727322023345,0.99538132860622,11,18.181818181818183,9.090909090909092,81.81818181818183,9.378610316701176,-1.3586433929235815,5,6
Strong Trend + Volume,4.522136551305803,-10.28177238326926,0.4398207218304433,28,14.285714285714285,10.714285714285714,85.71428571428571,7.703600658543175,-1.0955110867861209,11,17
2 Bars + Strong Vol,2.6163602018315686,-8.906224802489326,0.29376759062945335,16,18.75,12.5,75.0,6.311467443254782,-1.2552340098409827,10,6
Body + Not Overextended,-6.386417273699467,-29.232753682868555,-0.21846786460771014,55,18.181818181818183,7.2727272727272725,78.18181818181819,6.460815316041986,-1.5776571207582075,29,26
ATR + Volume + Body,-3.920071028586369,-13.522163082558702,-0.2898997005621531,24,12.5,8.333333333333332,87.5,8.575963824275313,-1.411807738162491,13,11
Strong ATR + Strong Vol,-6.335542510328284,-8.420525051631333,-0.7523928106004364,11,9.090909090909092,9.090909090909092,90.9090909090909,9.665510788842758,-1.6001053299171044,5,6
4 Bars Momentum,-32.388305320733494,-41.86763001091669,-0.7735882186856163,83,12.048192771084338,9.63855421686747,85.54216867469879,5.6338810081191415,-1.2154399370126698,52,31
3 Bars + ATR + Volume,-14.846942072435079,-17.998686862028567,-0.8248902926222549,18,11.11111111111111,0.0,88.88888888888889,3.827155095997015,-1.406328266526819,11,7
3 Bars + Volume,-19.703347438505354,-22.04517554991726,-0.8937714010891287,30,10.0,3.3333333333333335,86.66666666666667,4.09517644994359,-1.1847732143828196,20,10
Strong Body + Strong ATR,-17.714861607275612,-16.87269107994842,-1.0499132309918262,18,11.11111111111111,5.555555555555555,83.33333333333334,5.634379190230299,-1.8114762492335128,12,6
Mega Filter (All 5),-7.431986595443562,-6.560097194521908,-1.1329080004561116,4,0.0,0.0,100.0,0.0,-1.8579966488608906,4,0
