config,return,max_dd,return_dd,trades,win_rate,tp_rate,sl_rate
RSI >= 55 + Body <= 0.06%,21.758223680281066,-1.7117575411029868,12.711042982326196,10,50.0,50.0,50.0
RSI >= 55,25.88657703768389,-4.711154310902565,5.49474191023145,24,41.66666666666667,29.166666666666668,58.333333333333336
Baseline (Fresh Crosses),39.11816480761887,-7.313871068567956,5.3484897998452325,64,31.25,17.1875,65.625
EMA50 Dist <= 0.12% + Body <= 0.06%,12.041206145593165,-2.9245153617954323,4.117333867653467,9,44.44444444444444,33.33333333333333,55.55555555555556
RSI >= 55 + EMA50 Dist <= 0.12%,8.208357954508761,-2.8549806324034255,2.875101099231861,7,42.857142857142854,42.857142857142854,57.14285714285714
RSI >= 50 (Looser),24.41334828115869,-10.707790909365265,2.279961243901975,37,29.72972972972973,18.91891891891892,70.27027027027027
EMA50 Dist <= 0.2% (Looser),18.35472768577107,-9.462380861329542,1.93975786377215,34,29.411764705882355,20.588235294117645,70.58823529411765
Body <= 0.06%,15.94923129630546,-9.733387412926373,1.6386105494089518,29,27.586206896551722,20.689655172413794,72.41379310344827
EMA50 Dist <= 0.12%,10.762951114549638,-10.84760913225772,0.9921956979942859,27,25.925925925925924,18.51851851851852,74.07407407407408
Triple Filter,8.708792277784605,0.0,0.0,2,100.0,100.0,0.0
