total_return_pct,final_capital,max_drawdown_pct,total_trades,win_rate_pct,avg_win_pct,avg_loss_pct,profit_factor,best_trade_pct,worst_trade_pct,avg_trades_per_day,config_name,daily_limit,sizing_strategy
1.61,10161.42,44.31,57,1.75,82.46,-1.92,1.04,82.46,-23.53,0.63,Limit10_Gradual,10,Gradual
0.57,10057.23,18.71,39,2.56,59.31,-1.87,1.03,59.31,-23.53,0.43,Limit3_Gradual,3,Gradual
0.44,10044.05,44.95,58,1.72,82.46,-1.86,1.01,82.46,-23.53,0.64,LimitNone_Gradual,999,Gradual
-1.78,9821.84,7.28,39,2.56,59.31,-1.87,0.76,59.31,-23.53,0.43,Limit3_AntiMartingale,3,AntiMartingale
-1.93,9806.59,4.76,39,2.56,59.31,-1.87,0.59,59.31,-23.53,0.43,Limit3_KellyInspired,3,KellyInspired
-2.88,9712.39,6.72,58,1.72,82.46,-1.86,0.57,82.46,-23.53,0.64,LimitNone_KellyInspired,999,KellyInspired
-2.93,9706.79,5.73,45,2.22,59.31,-1.93,0.49,59.31,-23.53,0.5,Limit5_KellyInspired,5,KellyInspired
-2.94,9706.35,6.78,57,1.75,82.46,-1.92,0.57,82.46,-23.53,0.63,Limit10_KellyInspired,10,KellyInspired
-3.12,9688.28,10.5,58,1.72,82.46,-1.86,0.7,82.46,-23.53,0.64,LimitNone_AntiMartingale,999,AntiMartingale
-3.16,9684.38,8.58,45,2.22,59.31,-1.93,0.63,59.31,-23.53,0.5,Limit5_AntiMartingale,5,AntiMartingale
-3.24,9676.21,10.61,57,1.75,82.46,-1.92,0.69,82.46,-23.53,0.63,Limit10_AntiMartingale,10,AntiMartingale
-3.48,9651.6,6.26,53,1.89,59.31,-1.85,0.44,59.31,-23.53,0.59,Limit7_KellyInspired,7,KellyInspired
-4.25,9574.53,9.62,53,1.89,59.31,-1.85,0.56,59.31,-23.53,0.59,Limit7_AntiMartingale,7,AntiMartingale
-10.08,8991.6,27.33,45,2.22,59.31,-1.93,0.63,59.31,-23.53,0.5,Limit5_Gradual,5,Gradual
-19.85,8015.45,35.22,53,1.89,59.31,-1.85,0.44,59.31,-23.53,0.59,Limit7_Gradual,7,Gradual
-22.74,7726.04,51.5,39,2.56,59.31,-1.87,0.56,59.31,-23.53,0.43,Limit3_RampUp,3,RampUp
-23.15,7685.22,51.76,39,2.56,59.31,-1.87,0.55,59.31,-23.53,0.43,Limit3_MartingaleLight,3,MartingaleLight
-24.53,7547.26,52.63,39,2.56,59.31,-1.87,0.53,59.31,-23.53,0.43,Limit3_Fixed100,3,Fixed100
-32.78,6722.11,57.81,45,2.22,59.31,-1.93,0.43,59.31,-23.53,0.5,Limit5_RampUp,5,RampUp
-33.29,6670.98,58.13,45,2.22,59.31,-1.93,0.43,59.31,-23.53,0.5,Limit5_MartingaleLight,5,MartingaleLight
-34.57,6543.21,58.93,45,2.22,59.31,-1.93,0.41,59.31,-23.53,0.5,Limit5_Fixed100,5,Fixed100
-37.87,6213.24,65.95,58,1.72,82.46,-1.86,0.43,82.46,-23.53,0.64,LimitNone_RampUp,999,RampUp
-38.34,6165.98,66.21,58,1.72,82.46,-1.86,0.42,82.46,-23.53,0.64,LimitNone_MartingaleLight,999,MartingaleLight
-38.66,6133.99,66.38,57,1.75,82.46,-1.92,0.42,82.46,-23.53,0.63,Limit10_RampUp,10,RampUp
-39.13,6087.33,66.64,57,1.75,82.46,-1.92,0.41,82.46,-23.53,0.63,Limit10_MartingaleLight,10,MartingaleLight
-39.52,6047.88,66.85,58,1.72,82.46,-1.86,0.41,82.46,-23.53,0.64,LimitNone_Fixed100,999,Fixed100
-40.08,5992.35,62.39,53,1.89,59.31,-1.85,0.36,59.31,-23.53,0.59,Limit7_RampUp,7,RampUp
-40.29,5970.74,67.28,57,1.75,82.46,-1.92,0.4,82.46,-23.53,0.63,Limit10_Fixed100,10,Fixed100
-40.53,5946.77,62.67,53,1.89,59.31,-1.85,0.35,59.31,-23.53,0.59,Limit7_MartingaleLight,7,MartingaleLight
-41.67,5832.87,63.39,53,1.89,59.31,-1.85,0.34,59.31,-23.53,0.59,Limit7_Fixed100,7,Fixed100
