name,sl,tp,trades,wr,pnl,dd,rr
EMA20_Bounce,1.5,3.0,170,29.411764705882355,-98.05831138750688,98.30138581638003,-0.8726496772319537
EMA20_Bounce,1.5,4.0,154,19.480519480519483,-98.418490691121,98.61016862483592,-0.8770924207441403
EMA20_Bounce,1.0,3.0,182,23.076923076923077,-98.13222605993973,98.22396678888094,-0.9499941969896363
EMA20_Bounce,1.0,2.5,184,24.456521739130434,-98.50554121237438,98.56262287178886,-0.9612474402294434
EMA20_Bounce,1.0,2.0,187,27.27272727272727,-98.70577418871811,98.74514231959188,-0.9691951570643248
RSI_Oversold,1.5,4.0,154,22.07792207792208,-98.66516942053106,98.70250798295885,-0.9716597773526467
EMA8_Bounce,0.5,1.5,188,29.78723404255319,-96.97822994672893,97.05262111422297,-0.9746339588439907
EMA20_Bounce,0.5,1.5,193,26.94300518134715,-97.96355767457482,97.99528711727437,-0.9841004387666893
EMA8_Bounce,0.5,1.0,188,37.765957446808514,-97.20691483211633,97.23500674110834,-0.9896563355016633
RSI_Oversold,1.0,3.0,185,24.864864864864867,-98.48242060505302,98.49629533735246,-0.9907177492707953
EMA20_Bounce,0.5,1.0,193,34.196891191709845,-98.05995962793213,98.06746742031441,-0.9960538233107605
EMA8_Bounce,1.0,2.0,183,33.87978142076503,-97.88807193782219,97.88807193782219,-1.0
EMA8_Bounce,1.0,2.5,178,26.96629213483146,-97.96876175965946,97.96876175965946,-1.0
EMA8_Bounce,1.0,3.0,171,23.391812865497073,-97.89640031996541,97.89640031996541,-1.0
EMA8_Bounce,1.5,3.0,155,28.387096774193548,-98.24695188765257,98.24695188765257,-1.0
EMA8_Bounce,1.5,4.0,144,20.833333333333336,-98.32777078076909,98.32777078076909,-1.0
RSI_Oversold,0.5,1.0,198,33.33333333333333,-98.16896162917142,98.16896162917142,-1.0
RSI_Oversold,1.0,2.0,196,33.6734693877551,-98.36628448960964,98.36628448960964,-1.0
RSI_Oversold,0.5,1.5,198,27.77777777777778,-97.99717758368911,97.99717758368911,-1.0
RSI_Oversold,1.0,2.5,188,27.127659574468083,-98.64200051547576,98.64200051547576,-1.0
RSI_Oversold,1.5,3.0,173,32.947976878612714,-98.2938209553113,98.2938209553113,-1.0
